"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.2","1007.7","1005.7","2021/06/01 21:30:00","1003.0","2021/06/01 03:33:00","26.3","32.8","2021/06/01 11:54:00","23.3","2021/06/01 00:58:00","24.4","90","59","2021/06/01 11:38:00","1.1","110","6.6","170","2021/06/01 17:41:00","32.0","3.6","7.0","2021/06/01 16:16:00","13.5","2021/06/01 17:47:00","3.1","22.9","16.26","28.8","/","11","2021/06/01 12:00:00","8.5"
"02","1004.6","1008.1","1006.3","2021/06/02 22:15:00","1002.9","2021/06/02 13:42:00","27.8","33.5","2021/06/02 11:19:00","23.9","2021/06/02 04:38:00","25.1","86","59","2021/06/02 11:17:00","1.0","110","8.6","150","2021/06/02 15:13:00","5.0","2.6","2.5","2021/06/02 17:23:00","3.5","2021/06/02 17:18:00","5.8","42.8","18.06","33.8","-3.2","9","2021/06/02 11:00:00","8.0"
"03","1002.7","1006.2","1005.4","2021/06/03 00:01:00","1000.2","2021/06/03 16:21:00","30.0","35.5","2021/06/03 14:00:00","25.7","2021/06/03 05:10:00","24.6","74","50","2021/06/03 14:02:00","1.3","240","7.0","310","2021/06/03 14:56:00","0.0","0.0","0.0","--","0.0","--","4.3","31.7","20.98","32.5","3.6","12","2021/06/03 12:00:00","7.5"
"04","1001.0","1004.5","1002.1","2021/06/04 20:06:00","999.6","2021/06/04 13:07:00","27.8","33.3","2021/06/04 09:50:00","24.8","2021/06/04 14:43:00","25.2","87","61","2021/06/04 09:44:00","1.6","140","9.7","130","2021/06/04 14:18:00","156.0","6.8","23.0","2021/06/04 14:11:00","71.5","2021/06/04 13:25:00","3.1","22.8","11.72","14.8","/","7","2021/06/04 11:00:00","9.8"
"05","1000.6","1004.1","1003.1","2021/06/05 20:40:00","999.2","2021/06/05 04:32:00","24.7","26.8","2021/06/05 09:47:00","21.8","2021/06/05 20:59:00","23.9","95","91","2021/06/05 09:32:00","2.0","90","10.3","90","2021/06/05 17:50:00","23.5","9.7","2.0","2021/06/05 12:34:00","6.0","2021/06/05 16:59:00","0.0","0.0","3.01","13.8","-2.0","2","2021/06/05 10:00:00","10.0"
"06","1003.1","1006.6","1006.4","2021/06/06 21:41:00","1000.8","2021/06/06 03:42:00","23.8","25.1","2021/06/06 12:05:00","22.1","2021/06/06 00:01:00","22.8","94","88","2021/06/06 12:08:00","2.3","90","8.5","90","2021/06/06 04:25:00","7.5","4.4","2.5","2021/06/06 15:42:00","5.5","2021/06/06 15:09:00","0.0","0.0","5.62","17.8","-0.7","3","2021/06/06 13:00:00","10.0"
"07","1006.4","1009.9","1008.0","2021/06/07 22:15:00","1004.9","2021/06/07 02:23:00","26.5","30.2","2021/06/07 13:31:00","23.8","2021/06/07 00:04:00","24.0","87","72","2021/06/07 13:12:00","2.1","90","9.2","100","2021/06/07 13:48:00","T","0.1","T","2021/06/07 19:08:00","T","2021/06/07 19:08:00","4.2","30.9","18.45","35.0","-3.2","10","2021/06/07 13:00:00","8.3"
"08","1006.7","1010.2","1008.4","2021/06/08 07:40:00","1004.4","2021/06/08 15:40:00","28.8","34.1","2021/06/08 15:27:00","24.7","2021/06/08 05:05:00","24.1","77","56","2021/06/08 15:48:00","1.5","170","7.2","220","2021/06/08 16:44:00","0.0","0.0","0.0","--","0.0","--","6.8","50.0","22.37","37.5","4.7","9","2021/06/08 11:00:00","8.8"
"09","1005.5","1008.9","1007.2","2021/06/09 00:01:00","1003.4","2021/06/09 17:30:00","28.9","32.7","2021/06/09 14:23:00","25.9","2021/06/09 05:14:00","23.7","74","62","2021/06/09 10:14:00","1.7","160","8.8","50","2021/06/09 13:09:00","T","0.7","T","2021/06/09 11:17:00","T","2021/06/09 11:17:00","5.8","42.6","18.73","24.5","-4.1","8","2021/06/09 14:00:00","8.5"
