Sonde serial number                          	R3030575
Balloon release date and time                	2023-11-13T05:55:07
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
  57     3.5       263  996.4  14.5  90.9  13.0  66   7.9 289.3 25.013690 121.535205  9.49     396    254
  58     3.1       266  996.0  14.4  91.3  13.0  66   7.9 289.2 25.013676 121.535141  9.51     403    254
  59     3.4       269  995.6  14.4  91.4  13.0  65   7.9 289.2 25.013660 121.535072  9.50     410    254
  60     4.5       274  995.2  14.3  91.3  12.9  64   7.9 289.1 25.013639 121.535004  9.47     417    254
  61     2.7       276  994.7  14.3  91.3  12.9  64   7.9 289.1 25.013612 121.534944  9.44     424    254
  62     2.7       279  994.3  14.3  91.4  12.9  63   8.0 289.1 25.013580 121.534893  9.45     430    254
  63     3.9       283  993.9  14.3  91.7  12.9  63   8.0 289.1 25.013544 121.534851  9.47     435    254
  64     3.7       287  993.5  14.2  92.0  12.9  62   8.1 289.0 25.013505 121.534811  9.48     440    253
  65     3.5       290  993.0  14.2  92.1  12.9  62   8.1 289.0 25.013466 121.534769  9.47     445    253
  66     3.8       294  992.6  14.1  92.0  12.9  61   8.2 288.9 25.013425 121.534719  9.44     452    252
  67     4.4       298  992.1  14.1  92.0  12.8  61   8.3 288.9 25.013385 121.534658  9.41     459    252
  68     4.2       302  991.6  14.1  92.1  12.8  60   8.3 288.9 25.013343 121.534585  9.41     467    252
  69     4.5       307  991.1  14.0  92.5  12.8  60   8.4 288.8 25.013300 121.534502  9.43     477    252
  70     4.2       311  990.7  14.0  92.8  12.8  60   8.5 288.8 25.013255 121.534416  9.44     486    251
  71     4.9       316  990.2  13.9  93.0  12.8  59   8.6 288.7 25.013211 121.534331  9.44     496    251
  72     5.0       321  989.7  13.9  93.2  12.8  59   8.7 288.7 25.013168 121.534249  9.43     506    251
  73     3.1       324  989.3  13.8  93.2  12.8  59   8.9 288.6 25.013127 121.534171  9.42     515    251
  74     3.3       327  988.9  13.8  93.3  12.7  58   9.0 288.6 25.013088 121.534091  9.40     524    251
  75     3.0       330  988.5  13.8  93.5  12.7  58   9.1 288.6 25.013049 121.534004  9.41     533    250
  76     3.0       333  988.1  13.8  93.9  12.8  58   9.2 288.6 25.013007 121.533911  9.44     544    250
