Sonde serial number                          	R3030575
Balloon release date and time                	2023-11-13T05:55:07
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
 899     2.4      3063  711.2   7.9  54.0  -0.8 277  12.0 281.9 25.010644 121.528801  5.08    1120    247
 900     2.7      3065  711.0   7.9  54.1  -0.8 277  12.0 281.9 25.010630 121.528915  5.08    1110    246
 901     2.3      3068  710.8   7.9  54.2  -0.8 277  12.0 281.9 25.010615 121.529031  5.08    1100    246
 902     2.5      3070  710.6   7.8  54.3  -0.8 277  12.0 281.9 25.010600 121.529148  5.08    1090    246
 903     3.0      3073  710.4   7.8  54.3  -0.8 277  12.0 281.8 25.010583 121.529264  5.08    1080    245
 904     2.6      3076  710.1   7.8  54.3  -0.8 277  12.0 281.8 25.010567 121.529382  5.08    1070    245
 905     2.6      3078  709.9   7.8  54.3  -0.8 277  12.0 281.8 25.010551 121.529501  5.07    1060    245
 906     1.7      3080  709.7   7.8  54.3  -0.9 278  12.0 281.8 25.010535 121.529622  5.07    1050    244
 907     2.2      3082  709.5   7.8  54.3  -0.9 278  12.0 281.8 25.010519 121.529745  5.07    1040    244
 908     3.8      3086  709.3   7.7  54.4  -0.9 278  12.0 281.8 25.010502 121.529868  5.07    1029    243
 909     2.5      3088  709.0   7.7  54.3  -0.9 278  12.0 281.7 25.010486 121.529989  5.06    1019    243
 910     1.7      3090  708.8   7.7  54.3  -0.9 278  12.0 281.7 25.010470 121.530111  5.05    1009    243
 911     2.6      3093  708.6   7.7  54.3  -0.9 278  12.0 281.7 25.010455 121.530230  5.05     999    242
 912     3.3      3096  708.4   7.7  54.3  -0.9 278  12.0 281.7 25.010443 121.530348  5.05     989    242
 913     3.1      3099  708.2   7.7  54.3  -1.0 279  12.0 281.7 25.010431 121.530462  5.04     980    241
 914     2.4      3102  707.9   7.7  54.2  -1.0 279  12.0 281.7 25.010419 121.530575  5.04     970    241
 915     1.4      3103  707.7   7.7  54.2  -1.0 279  12.1 281.7 25.010406 121.530687  5.04     961    241
 916     2.2      3105  707.5   7.7  54.3  -1.0 279  12.1 281.7 25.010392 121.530800  5.05     952    240
 917     2.8      3108  707.3   7.6  54.4  -0.9 279  12.1 281.7 25.010377 121.530913  5.05     943    240
 918     2.7      3111  707.1   7.6  54.6  -0.9 279  12.1 281.6 25.010361 121.531027  5.06     934    239
 919     3.0      3114  706.9   7.6  54.7  -0.9 280  12.1 281.6 25.010344 121.531142  5.07     925    239
 920     2.9      3116  706.7   7.6  54.8  -0.9 280  12.1 281.6 25.010326 121.531258  5.07     916    238
 921     2.0      3118  706.5   7.5  54.9  -0.9 280  12.1 281.6 25.010308 121.531375  5.07     907    238
 922     2.0      3120  706.3   7.5  54.9  -0.9 280  12.1 281.5 25.010289 121.531494  5.06     898    237
 923     2.5      3123  706.0   7.5  55.0  -1.0 280  12.1 281.5 25.010270 121.531613  5.06     889    237
 924     1.9      3125  705.8   7.5  55.1  -1.0 280  12.2 281.5 25.010250 121.531732  5.06     880    236
 925     2.8      3128  705.6   7.4  55.1  -1.0 281  12.2 281.5 25.010229 121.531851  5.06     872    236
 926     2.9      3131  705.4   7.4  55.2  -1.0 281  12.2 281.4 25.010206 121.531970  5.06     863    235
 927     2.4      3133  705.2   7.4  55.3  -1.0 281  12.2 281.4 25.010183 121.532088  5.06     855    235
 928     1.6      3135  705.0   7.4  55.3  -1.0 281  12.2 281.4 25.010160 121.532205  5.06     847    234
 929     2.0      3137  704.8   7.4  55.4  -1.0 281  12.3 281.4 25.010137 121.532323  5.06     839    233
 930     2.9      3140  704.6   7.3  55.5  -1.0 282  12.3 281.3 25.010114 121.532441  5.06     831    233
 931     2.9      3143  704.4   7.3  55.6  -1.0 282  12.3 281.3 25.010090 121.532560  5.07     823    232
 932     1.8      3144  704.2   7.3  55.7  -1.0 282  12.3 281.3 25.010067 121.532679  5.07     815    231
 933     1.8      3146  704.0   7.3  55.7  -1.0 282  12.4 281.3 25.010043 121.532798  5.07     807    231
 934     2.6      3149  703.8   7.3  55.8  -1.0 282  12.4 281.3 25.010018 121.532917  5.07     800    230
 935     2.3      3151  703.6   7.2  55.8  -1.0 282  12.4 281.3 25.009991 121.533037  5.07     792    229
 936     2.9      3154  703.4   7.2  55.9  -1.0 282  12.5 281.2 25.009964 121.533156  5.08     785    229
 937     2.2      3156  703.2   7.2  56.1  -0.9 283  12.5 281.2 25.009937 121.533275  5.09     778    228
 938     2.8      3159  703.0   7.2  56.3  -0.9 283  12.5 281.2 25.009911 121.533393  5.10     772    227
 939     2.6      3162  702.7   7.2  56.4  -0.9 283  12.5 281.2 25.009886 121.533512  5.11     765    226
 940     2.8      3164  702.5   7.1  56.6  -0.9 283  12.6 281.2 25.009862 121.533631  5.11     758    225
 941     3.0      3167  702.3   7.1  56.7  -0.9 283  12.6 281.2 25.009839 121.533751  5.12     751    225
 942     2.1      3170  702.1   7.1  56.8  -0.9 283  12.6 281.1 25.009816 121.533872  5.12     744    224
 943     2.1      3172  701.8   7.1  57.0  -0.8 283  12.7 281.1 25.009792 121.533995  5.14     738    223
 944     2.8      3174  701.6   7.1  57.3  -0.8 283  12.7 281.1 25.009767 121.534119  5.16     731    222
 945     3.0      3177  701.4   7.1  57.6  -0.7 283  12.7 281.1 25.009739 121.534244  5.18     725    221
 946     3.0      3180  701.2   7.0  58.1  -0.6 283  12.8 281.1 25.009710 121.534368  5.22     720    220
 947     1.6      3182  701.0   7.0  58.6  -0.5 283  12.8 281.1 25.009679 121.534491  5.27     714    219
 948     2.5      3185  700.8   7.0  58.9  -0.4 283  12.8 281.1 25.009648 121.534613  5.30     709    218
 949     2.5      3187  700.6   7.0  59.2  -0.4 283  12.9 281.1 25.009618 121.534736  5.31     704    218
 950     2.1      3189  700.4   7.0  59.3  -0.4 283  12.9 281.1 25.009589 121.534858  5.32     699    217
 951     2.3      3191  700.2   7.0  59.4  -0.4 283  12.9 281.0 25.009561 121.534980  5.33     695    216
 952     2.4      3194  700.0   7.0  59.5  -0.4 283  13.0 281.0 25.009535 121.535103  5.33     690    215
 953     2.3      3196  699.8   6.9  59.6  -0.4 283  13.0 281.0 25.009511 121.535226  5.34     685    214
 954     2.4      3199  699.6   6.9  59.8  -0.3 283  13.0 281.0 25.009488 121.535351  5.35     680    213
 955     2.4      3201  699.4   6.9  60.0  -0.3 283  13.0 281.0 25.009464 121.535478  5.35     676    212
 956     2.8      3204  699.2   6.9  60.1  -0.3 283  13.1 280.9 25.009440 121.535607  5.36     671    211
 957     2.0      3206  699.0   6.9  60.2  -0.3 283  13.1 280.9 25.009414 121.535735  5.36     667    209
 958     2.7      3208  698.7   6.8  60.2  -0.3 283  13.1 280.9 25.009387 121.535864  5.35     664    208
 959     3.0      3211  698.5   6.8  60.3  -0.3 283  13.1 280.9 25.009359 121.535992  5.36     660    207
 960     2.0      3213  698.3   6.8  60.4  -0.3 283  13.1 280.9 25.009330 121.536120  5.36     657    206
 961     2.2      3216  698.1   6.8  60.5  -0.3 283  13.2 280.8 25.009301 121.536247  5.36     655    205
 962     2.7      3218  697.9   6.7  60.6  -0.3 283  13.2 280.8 25.009271 121.536376  5.36     652    204
 963     2.6      3221  697.7   6.7  60.6  -0.3 283  13.2 280.8 25.009243 121.536505  5.36     650    203
 964     2.4      3223  697.5   6.7  60.7  -0.3 283  13.2 280.8 25.009216 121.536635  5.36     648    201
 965     2.4      3226  697.3   6.7  60.8  -0.3 283  13.2 280.8 25.009191 121.536763  5.37     646    200
 966     2.6      3228  697.1   6.7  60.9  -0.3 282  13.2 280.8 25.009168 121.536890  5.37     644    199
 967     2.2      3230  696.9   6.7  61.0  -0.3 282  13.2 280.7 25.009146 121.537018  5.38     642    198
 968     2.7      3233  696.7   6.7  61.2  -0.3 282  13.2 280.7 25.009124 121.537147  5.39     641    197
 969     2.5      3236  696.5   6.6  61.3  -0.3 282  13.2 280.7 25.009101 121.537276  5.40     639    196
 970     2.1      3238  696.3   6.6  61.4  -0.3 282  13.2 280.7 25.009077 121.537406  5.40     639    194
 971     2.0      3240  696.1   6.6  61.4  -0.3 282  13.2 280.7 25.009053 121.537534  5.41     638    193
 972     2.4      3242  695.9   6.6  61.4  -0.3 282  13.2 280.7 25.009028 121.537662  5.41     638    192
 973     3.7      3246  695.6   6.6  61.4  -0.3 282  13.2 280.7 25.009002 121.537789  5.41     638    191
 974     1.6      3247  695.4   6.6  61.4  -0.3 282  13.2 280.7 25.008975 121.537915  5.41     639    190
 975     2.7      3250  695.2   6.6  61.4  -0.3 282  13.2 280.7 25.008948 121.538041  5.41     640    189
 976     2.3      3252  695.0   6.6  61.3  -0.3 282  13.2 280.7 25.008920 121.538167  5.41     641    187
 977     2.8      3255  694.8   6.6  61.3  -0.3 282  13.2 280.7 25.008895 121.538293  5.41     642    186
 978     2.4      3258  694.6   6.7  61.2  -0.3 282  13.2 280.7 25.008870 121.538421  5.41     644    185
 979     2.2      3260  694.4   6.7  61.1  -0.3 282  13.2 280.7 25.008847 121.538550  5.41     645    184
 980     3.4      3263  694.1   6.7  60.8  -0.3 282  13.2 280.7 25.008823 121.538679  5.39     647    183
 981     2.8      3266  693.9   6.7  60.5  -0.4 282  13.2 280.8 25.008800 121.538810  5.37     649    182
 982     1.7      3268  693.7   6.7  60.4  -0.4 283  13.2 280.8 25.008775 121.538941  5.36     652    180
 983     2.9      3271  693.5   6.7  60.7  -0.4 283  13.2 280.8 25.008750 121.539071  5.39     655    179
 984     2.6      3273  693.3   6.7  61.2  -0.2 283  13.2 280.8 25.008724 121.539201  5.44     658    178
 985     2.6      3276  693.1   6.7  62.2  -0.0 283  13.2 280.8 25.008699 121.539328  5.52     661    177
 986     2.1      3278  692.9   6.7  63.2   0.2 283  13.2 280.8 25.008674 121.539453  5.60     665    176
 987     2.3      3280  692.7   6.7  64.3   0.4 283  13.2 280.8 25.008649 121.539578  5.71     669    175
 988     2.7      3283  692.4   6.7  65.5   0.7 283  13.2 280.8 25.008622 121.539702  5.81     673    174
 989     2.5      3285  692.2   6.7  66.1   0.8 283  13.2 280.8 25.008596 121.539826  5.88     677    173
 990     2.5      3288  692.0   6.7  66.3   0.9 283  13.2 280.8 25.008568 121.539949  5.90     682    172
 991     2.9      3291  691.8   6.7  66.4   0.9 283  13.2 280.8 25.008539 121.540073  5.90     687    171
 992     2.7      3293  691.6   6.7  66.4   0.9 283  13.2 280.8 25.008509 121.540198  5.91     692    170
 993     1.8      3295  691.4   6.7  66.4   0.9 283  13.2 280.8 25.008479 121.540325  5.91     698    169
 994     2.5      3298  691.2   6.7  66.4   0.9 283  13.2 280.8 25.008449 121.540453  5.91     704    168
 995     2.9      3301  691.0   6.7  66.6   0.9 283  13.2 280.8 25.008419 121.540583  5.92     710    167
 996     2.1      3303  690.8   6.7  66.7   0.9 283  13.3 280.8 25.008390 121.540714  5.94     716    166
 997     2.8      3305  690.6   6.7  66.9   1.0 283  13.3 280.8 25.008363 121.540843  5.95     722    165
 998     2.0      3307  690.4   6.7  67.1   1.0 283  13.3 280.8 25.008338 121.540972  5.97     729    164
 999     3.0      3310  690.1   6.7  67.0   1.0 283  13.3 280.8 25.008313 121.541099  5.97     735    163
1000     2.5      3313  689.9   6.7  66.9   1.0 283  13.3 280.8 25.008288 121.541225  5.96     741    162
1001     2.3      3315  689.7   6.7  67.1   1.0 283  13.3 280.8 25.008263 121.541352  5.98     748    161
1002     2.8      3318  689.5   6.6  67.4   1.1 283  13.3 280.8 25.008238 121.541479  6.01     755    160
1003     2.5      3321  689.3   6.6  67.9   1.1 283  13.3 280.8 25.008212 121.541607  6.05     762    160
1004     2.9      3323  689.1   6.6  68.5   1.2 283  13.3 280.8 25.008187 121.541735  6.09     769    159
1005     1.9      3325  688.9   6.6  69.1   1.4 283  13.3 280.8 25.008160 121.541863  6.14     777    158
1006     2.0      3327  688.7   6.6  69.5   1.4 283  13.3 280.8 25.008133 121.541991  6.18     784    157
1007     3.1      3330  688.5   6.6  69.8   1.5 283  13.3 280.8 25.008105 121.542119  6.20     792    156
1008     2.4      3333  688.3   6.5  70.0   1.5 283  13.3 280.8 25.008075 121.542246  6.20     800    156
1009     2.4      3335  688.0   6.5  70.1   1.5 283  13.3 280.7 25.008046 121.542373  6.21     809    155
1010     2.8      3338  687.8   6.5  70.1   1.5 283  13.3 280.7 25.008016 121.542500  6.20     817    154
1011     2.1      3340  687.6   6.5  70.1   1.4 283  13.3 280.7 25.007986 121.542627  6.20     826    154
1012     2.5      3343  687.4   6.5  70.2   1.4 283  13.3 280.7 25.007956 121.542755  6.19     835    153
1013     2.9      3346  687.2   6.4  70.2   1.4 283  13.3 280.6 25.007926 121.542883  6.19     844    152
1014     1.9      3348  687.0   6.4  70.3   1.4 283  13.3 280.6 25.007896 121.543013  6.20     853    151
1015     2.6      3350  686.8   6.4  70.5   1.5 283  13.3 280.6 25.007867 121.543142  6.21     862    151
1016     2.8      3353  686.6   6.4  70.7   1.5 283  13.3 280.6 25.007839 121.543271  6.22     871    150
1017     2.6      3356  686.4   6.4  70.9   1.5 283  13.3 280.6 25.007813 121.543400  6.23     880    150
1018     2.7      3358  686.2   6.4  71.1   1.5 283  13.3 280.6 25.007787 121.543529  6.25     889    149
1019     2.2      3360  685.9   6.3  71.3   1.5 283  13.3 280.6 25.007761 121.543658  6.25     898    148
1020     2.5      3363  685.7   6.3  71.3   1.5 283  13.3 280.5 25.007735 121.543787  6.25     908    148
1021     2.7      3366  685.5   6.3  71.2   1.5 283  13.3 280.5 25.007708 121.543915  6.24     917    147
1022     2.7      3368  685.3   6.3  71.2   1.5 283  13.2 280.5 25.007681 121.544044  6.23     927    147
1023     1.9      3370  685.1   6.3  71.1   1.4 283  13.2 280.5 25.007654 121.544173  6.22     937    146
1024     2.8      3373  684.9   6.3  71.0   1.4 283  13.2 280.5 25.007626 121.544300  6.21     946    145
1025     2.9      3376  684.7   6.2  70.9   1.4 283  13.2 280.4 25.007599 121.544427  6.19     956    145
1026     2.6      3379  684.5   6.2  70.9   1.4 283  13.2 280.4 25.007572 121.544553  6.19     966    144
1027     2.0      3381  684.3   6.2  71.1   1.4 282  13.2 280.4 25.007546 121.544681  6.19     976    144
1028     2.0      3383  684.1   6.2  71.3   1.4 282  13.2 280.4 25.007521 121.544809  6.20     986    143
1029     2.5      3385  683.9   6.2  71.4   1.4 282  13.2 280.4 25.007498 121.544936  6.20     996    143
1030     2.8      3388  683.7   6.1  71.4   1.4 282  13.2 280.3 25.007474 121.545064  6.19    1005    142
1031     2.2      3390  683.5   6.1  71.4   1.3 282  13.1 280.3 25.007451 121.545191  6.18    1015    142
1032     1.8      3392  683.3   6.1  71.5   1.3 282  13.1 280.3 25.007428 121.545317  6.18    1025    141
1033     2.7      3395  683.1   6.1  71.6   1.3 282  13.1 280.3 25.007406 121.545443  6.19    1035    141
1034     1.7      3396  682.9   6.0  71.8   1.3 282  13.1 280.2 25.007386 121.545568  6.19    1045    140
1035     2.8      3399  682.7   6.0  71.9   1.3 282  13.1 280.2 25.007367 121.545693  6.20    1054    140
1036     2.1      3401  682.5   6.0  72.0   1.3 282  13.1 280.2 25.007349 121.545817  6.20    1064    140
1037     2.6      3404  682.3   6.0  72.1   1.3 282  13.1 280.2 25.007328 121.545943  6.20    1074    139
1038     2.9      3407  682.1   6.0  72.2   1.4 282  13.1 280.2 25.007305 121.546069  6.21    1084    139
1039     2.3      3409  681.9   5.9  72.4   1.4 282  13.1 280.1 25.007280 121.546195  6.21    1095    138
1040     2.2      3411  681.7   5.9  72.5   1.4 282  13.1 280.1 25.007254 121.546321  6.22    1106    138
1041     2.4      3414  681.5   5.9  72.7   1.4 282  13.1 280.1 25.007228 121.546449  6.22    1116    138
1042     3.0      3417  681.3   5.9  72.9   1.4 282  13.1 280.1 25.007204 121.546578  6.23    1127    137
1043     2.4      3419  681.1   5.9  73.0   1.4 282  13.1 280.1 25.007179 121.546707  6.24    1138    137
1044     1.8      3421  680.9   5.8  73.2   1.4 282  13.1 280.1 25.007154 121.546836  6.25    1149    136
1045     2.2      3423  680.7   5.8  73.4   1.4 282  13.1 280.0 25.007127 121.546964  6.26    1160    136
1046     2.7      3426  680.5   5.8  73.5   1.5 282  13.1 280.0 25.007101 121.547090  6.26    1171    136
1047     3.0      3429  680.3   5.8  73.6   1.5 282  13.1 280.0 25.007077 121.547215  6.27    1182    135
1048     2.0      3431  680.1   5.8  73.7   1.5 282  13.1 280.0 25.007056 121.547340  6.27    1192    135
1049     2.2      3433  679.9   5.8  73.7   1.4 282  13.1 280.0 25.007036 121.547465  6.27    1203    135
1050     2.7      3436  679.7   5.7  73.7   1.4 281  13.1 280.0 25.007016 121.547590  6.26    1214    134
1051     2.5      3438  679.5   5.7  73.7   1.4 281  13.2 279.9 25.006996 121.547716  6.25    1224    134
1052     2.3      3440  679.3   5.7  73.6   1.4 281  13.2 279.9 25.006973 121.547841  6.24    1235    134
1053     2.2      3443  679.1   5.7  73.5   1.4 281  13.2 279.9 25.006948 121.547966  6.23    1246    133
1054     1.9      3445  678.9   5.7  73.4   1.3 281  13.2 279.9 25.006922 121.548091  6.22    1257    133
1055     2.7      3447  678.7   5.7  73.4   1.3 281  13.2 279.9 25.006895 121.548218  6.21    1269    133
1056     2.1      3449  678.6   5.7  73.4   1.3 281  13.3 279.9 25.006868 121.548345  6.21    1280    132
1057     2.0      3451  678.4   5.7  73.5   1.3 281  13.3 279.9 25.006843 121.548473  6.21    1292    132
1058     2.2      3454  678.2   5.6  73.7   1.3 281  13.3 279.8 25.006819 121.548602  6.22    1303    132
1059     2.1      3456  678.0   5.6  73.8   1.3 281  13.3 279.8 25.006797 121.548733  6.23    1315    131
1060     2.9      3459  677.8   5.6  74.0   1.3 280  13.4 279.8 25.006774 121.548864  6.24    1326    131
1061     2.8      3461  677.6   5.6  74.2   1.3 280  13.4 279.8 25.006753 121.548995  6.24    1338    131
1062     2.5      3464  677.3   5.5  74.4   1.3 280  13.4 279.7 25.006731 121.549127  6.24    1349    131
1063     2.9      3467  677.1   5.5  74.4   1.3 280  13.4 279.7 25.006709 121.549259  6.24    1361    130
1064     2.3      3469  676.9   5.5  74.4   1.3 280  13.5 279.7 25.006688 121.549391  6.23    1373    130
1065     2.5      3472  676.7   5.5  74.3   1.3 280  13.5 279.7 25.006666 121.549524  6.21    1385    130
1066     3.6      3475  676.5   5.4  74.2   1.2 279  13.5 279.6 25.006644 121.549656  6.20    1397    129
1067     1.9      3477  676.3   5.4  74.3   1.2 279  13.6 279.6 25.006622 121.549788  6.20    1409    129
1068     2.4      3480  676.1   5.4  74.5   1.2 279  13.6 279.6 25.006600 121.549922  6.21    1420    129
1069     1.8      3481  675.9   5.4  74.6   1.3 279  13.6 279.6 25.006580 121.550056  6.22    1432    129
1070     2.4      3484  675.7   5.4  74.8   1.3 279  13.6 279.6 25.006561 121.550192  6.22    1444    128
1071     3.1      3487  675.5   5.4  74.8   1.3 278  13.6 279.6 25.006544 121.550329  6.22    1457    128
1072     2.4      3489  675.3   5.4  74.7   1.2 278  13.7 279.6 25.006529 121.550467  6.22    1469    128
1073     3.0      3492  675.1   5.4  74.7   1.2 278  13.7 279.6 25.006515 121.550604  6.22    1480    128
1074     1.5      3494  674.9   5.4  74.6   1.2 278  13.7 279.6 25.006501 121.550741  6.21    1492    127
1075     2.5      3496  674.7   5.4  74.3   1.2 278  13.7 279.6 25.006488 121.550878  6.19    1504    127
1076     2.2      3498  674.5   5.4  73.6   1.0 278  13.7 279.6 25.006473 121.551013  6.14    1516    127
1077     2.4      3501  674.3   5.4  72.8   0.9 278  13.8 279.6 25.006458 121.551147  6.07    1528    126
1078     2.5      3503  674.1   5.4  72.1   0.8 277  13.8 279.6 25.006443 121.551281  6.02    1540    126
1079     2.1      3505  673.9   5.4  71.6   0.7 277  13.8 279.6 25.006428 121.551416  6.00    1552    126
1080     2.4      3508  673.7   5.4  71.5   0.7 277  13.8 279.6 25.006413 121.551551  5.99    1564    126
1081     2.3      3510  673.5   5.4  71.4   0.7 277  13.8 279.6 25.006397 121.551686  5.97    1576    126
1082     2.4      3512  673.3   5.4  71.1   0.6 277  13.8 279.6 25.006380 121.551821  5.95    1588    125
1083     2.8      3515  673.1   5.4  70.7   0.5 277  13.8 279.6 25.006362 121.551956  5.92    1601    125
1084     2.2      3518  672.9   5.4  70.1   0.4 277  13.8 279.6 25.006345 121.552091  5.88    1613    125
1085     2.0      3520  672.8   5.5  69.5   0.3 277  13.8 279.6 25.006330 121.552227  5.84    1625    125
1086     2.5      3522  672.6   5.5  68.9   0.2 277  13.8 279.6 25.006316 121.552363  5.80    1637    124
1087     2.1      3524  672.4   5.5  68.4   0.2 277  13.8 279.6 25.006302 121.552501  5.77    1650    124
1088     2.2      3526  672.2   5.5  67.8   0.0 277  13.8 279.6 25.006288 121.552638  5.72    1662    124
1089     2.1      3528  672.0   5.5  67.2  -0.1 277  13.8 279.6 25.006274 121.552775  5.68    1674    124
1090     3.1      3532  671.8   5.5  66.8  -0.2 277  13.8 279.6 25.006260 121.552913  5.65    1687    123
1091     2.2      3534  671.6   5.5  66.5  -0.2 277  13.8 279.6 25.006246 121.553051  5.63    1699    123
1092     2.1      3536  671.4   5.5  66.5  -0.2 277  13.8 279.6 25.006232 121.553188  5.62    1712    123
1093     2.5      3538  671.2   5.5  66.5  -0.2 277  13.8 279.6 25.006218 121.553324  5.62    1724    123
1094     2.1      3540  671.0   5.5  66.4  -0.2 277  13.8 279.6 25.006204 121.553459  5.61    1736    123
1095     1.6      3542  670.8   5.5  66.5  -0.3 277  13.8 279.6 25.006190 121.553594  5.61    1749    122
1096     3.2      3545  670.6   5.5  66.5  -0.3 277  13.8 279.6 25.006175 121.553728  5.61    1761    122
1097     3.0      3548  670.4   5.5  66.4  -0.3 277  13.8 279.6 25.006159 121.553862  5.60    1773    122
1098     2.1      3550  670.2   5.4  66.3  -0.3 277  13.8 279.5 25.006143 121.553996  5.59    1786    122
1099     2.6      3553  670.0   5.4  66.3  -0.3 277  13.8 279.5 25.006127 121.554131  5.58    1798    122
1100     2.5      3555  669.8   5.4  66.2  -0.4 277  13.8 279.5 25.006112 121.554267  5.58    1811    122
1101     2.2      3558  669.7   5.4  66.1  -0.4 277  13.8 279.5 25.006097 121.554404  5.57    1824    121
1102     1.8      3559  669.5   5.4  65.9  -0.4 277  13.8 279.5 25.006083 121.554542  5.55    1836    121
1103     2.7      3562  669.3   5.4  65.8  -0.5 277  13.8 279.5 25.006070 121.554681  5.54    1849    121
1104     1.7      3564  669.1   5.4  65.8  -0.5 277  13.8 279.5 25.006057 121.554820  5.53    1862    121
1105     2.8      3567  668.9   5.4  65.7  -0.5 277  13.8 279.5 25.006042 121.554959  5.52    1875    121
1106     2.4      3569  668.7   5.4  65.6  -0.6 277  13.8 279.4 25.006026 121.555096  5.50    1888    120
1107     2.3      3571  668.5   5.4  65.4  -0.6 277  13.8 279.4 25.006009 121.555232  5.49    1900    120
1108     2.1      3573  668.3   5.3  65.3  -0.6 277  13.8 279.4 25.005993 121.555368  5.48    1913    120
1109     2.0      3575  668.2   5.3  65.4  -0.6 277  13.8 279.4 25.005977 121.555502  5.48    1926    120
1110     2.7      3578  668.0   5.3  65.5  -0.6 277  13.7 279.4 25.005962 121.555636  5.49    1938    120
1111     2.6      3581  667.8   5.3  65.6  -0.6 277  13.7 279.4 25.005947 121.555769  5.49    1951    120
1112     2.0      3583  667.6   5.3  65.7  -0.6 277  13.7 279.4 25.005933 121.555903  5.49    1963    119
1113     1.7      3584  667.4   5.3  65.7  -0.6 277  13.7 279.3 25.005919 121.556036  5.49    1976    119
1114     3.3      3588  667.2   5.2  65.9  -0.6 277  13.7 279.3 25.005904 121.556168  5.50    1988    119
1115     2.2      3590  667.0   5.2  66.0  -0.6 277  13.7 279.3 25.005887 121.556301  5.51    2001    119
1116     1.7      3592  666.9   5.2  66.2  -0.6 277  13.7 279.3 25.005870 121.556436  5.51    2014    119
1117     2.1      3594  666.7   5.2  66.4  -0.6 277  13.7 279.3 25.005854 121.556572  5.52    2027    119
1118     2.0      3596  666.5   5.2  66.5  -0.5 278  13.7 279.3 25.005838 121.556709  5.53    2040    119
1119     2.4      3598  666.3   5.1  66.8  -0.5 278  13.6 279.2 25.005821 121.556847  5.54    2053    118
1120     2.9      3601  666.1   5.1  66.9  -0.5 278  13.6 279.2 25.005804 121.556983  5.55    2066    118
1121     2.0      3603  665.9   5.1  67.1  -0.5 278  13.6 279.2 25.005786 121.557117  5.55    2079    118
1122     1.9      3605  665.7   5.1  67.2  -0.5 278  13.6 279.2 25.005768 121.557249  5.55    2091    118
1123     3.0      3608  665.5   5.1  67.3  -0.5 278  13.6 279.1 25.005750 121.557379  5.56    2104    118
1124     2.4      3610  665.3   5.0  67.4  -0.5 278  13.6 279.1 25.005734 121.557509  5.56    2116    118
1125     2.6      3613  665.2   5.0  67.5  -0.5 278  13.5 279.1 25.005719 121.557639  5.56    2129    118
1126     2.0      3615  665.0   5.0  67.6  -0.5 278  13.5 279.1 25.005706 121.557769  5.56    2141    118
1127     2.6      3617  664.8   5.0  67.7  -0.5 278  13.5 279.1 25.005693 121.557900  5.56    2153    117
1128     2.4      3620  664.6   4.9  67.9  -0.5 278  13.5 279.0 25.005679 121.558032  5.57    2166    117
1129     2.0      3622  664.4   4.9  68.1  -0.5 278  13.5 279.0 25.005665 121.558166  5.58    2179    117
1130     1.8      3624  664.2   4.9  68.2  -0.5 278  13.4 279.0 25.005650 121.558300  5.58    2192    117
1131     2.4      3626  664.0   4.9  68.3  -0.5 278  13.4 279.0 25.005635 121.558436  5.59    2204    117
1132     2.2      3628  663.9   4.9  68.3  -0.5 278  13.4 279.0 25.005618 121.558572  5.58    2218    117
1133     2.3      3631  663.7   4.8  68.4  -0.5 278  13.4 278.9 25.005601 121.558709  5.58    2231    117
1134     2.1      3633  663.5   4.8  68.5  -0.5 278  13.4 278.9 25.005583 121.558846  5.58    2244    117
1135     3.1      3636  663.3   4.8  68.7  -0.4 278  13.3 278.9 25.005566 121.558981  5.60    2257    117
1136     2.1      3638  663.1   4.8  69.1  -0.4 278  13.3 278.9 25.005549 121.559116  5.62    2270    116
1137     1.8      3640  663.0   4.8  69.5  -0.3 278  13.3 278.9 25.005532 121.559249  5.65    2283    116
1138     2.5      3642  662.8   4.7  69.7  -0.3 278  13.3 278.9 25.005515 121.559380  5.65    2296    116
1139     1.5      3643  662.6   4.7  69.7  -0.3 278  13.3 278.8 25.005496 121.559507  5.65    2308    116
1140     1.6      3645  662.5   4.7  69.9  -0.3 279  13.2 278.8 25.005478 121.559631  5.65    2320    116
1141     2.4      3647  662.3   4.7  70.0  -0.3 279  13.2 278.8 25.005461 121.559751  5.66    2332    116
1142     3.1      3651  662.1   4.6  70.1  -0.3 279  13.2 278.8 25.005445 121.559870  5.66    2344    116
1143     1.7      3652  661.9   4.6  70.1  -0.3 279  13.2 278.7 25.005430 121.559989  5.65    2355    116
1144     2.1      3654  661.8   4.6  70.1  -0.4 279  13.2 278.7 25.005416 121.560110  5.65    2367    116
1145     2.1      3656  661.6   4.6  70.1  -0.4 279  13.2 278.7 25.005401 121.560236  5.64    2379    116
1146     2.3      3659  661.4   4.6  70.1  -0.4 279  13.2 278.7 25.005385 121.560364  5.63    2391    115
1147     2.1      3661  661.2   4.6  70.2  -0.4 279  13.2 278.7 25.005369 121.560496  5.63    2404    115
1148     3.1      3664  661.0   4.5  70.3  -0.4 279  13.1 278.6 25.005352 121.560628  5.63    2417    115
1149     1.6      3665  660.9   4.5  70.3  -0.4 279  13.1 278.6 25.005334 121.560760  5.63    2430    115
